0,60|0,40|$56.185,56
0,80|0,40|$62.272,34
1,00|0,40|$71.917,73
1,20|0,40|$81.156,93
1,00|0,60|$88.336,19
1,00|0,90|$98.168,67
1,00|1,00|$106.128,28
1,20|1,00|$117.053,25
1,50|1,00|$145.773,25
1,20|1,10|$122.827,89
1,50|1,10|$139.683,56
1,50|1,50|$180.262,02
1,20|2,00|$256.736,80
1,50|2,00|$310.424,23
1,80|2,00|$326.422,50

2,00|2,00|$358.184,09
